,Alberta,British Columbia,Manitoba,New Brunswick,Newfoundland and Labrador,Northwest Territories,Nova Scotia,Nunavut,Ontario,Prince Edward Island,Quebec,Saskatchewan,Yukon,Total
2020-10-30,472.7142857142857,321.64285714285717,243.14285714285714,1.9285714285714286,0.42857142857142855,0.14285714285714285,1.5714285714285714,0.0,958.2857142857143,0.0,1004.8571428571429,69.85714285714286,0.42857142857142855,3075.0
2020-10-31,542.6428571428571,328.2142857142857,248.85714285714286,1.8571428571428572,0.42857142857142855,0.07142857142857142,1.7142857142857142,0.07142857142857142,982.2857142857143,0.14285714285714285,1016.2857142857143,73.71428571428571,0.42857142857142855,3196.714285714286
2020-11-01,608.2857142857143,368.7142857142857,257.2142857142857,1.9285714285714286,0.5,0.07142857142857142,1.7857142857142858,0.07142857142857142,994.8571428571429,0.14285714285714285,1044.857142857143,76.35714285714286,0.21428571428571427,3355.0
2020-11-02,660.2142857142857,368.7142857142857,277.2142857142857,1.8571428571428572,0.5,0.07142857142857142,2.0,0.14285714285714285,1025.9285714285713,0.14285714285714285,1079.0,83.42857142857143,0.21428571428571427,3499.4285714285716
2020-11-03,601.9285714285714,381.64285714285717,296.14285714285717,1.7142857142857142,0.42857142857142855,0.07142857142857142,2.0,0.14285714285714285,1074.642857142857,0.14285714285714285,1094.5714285714287,93.14285714285714,0.07142857142857142,3546.6428571428573
2020-11-04,622.7142857142857,403.64285714285717,310.42857142857144,1.5,0.42857142857142855,0.07142857142857142,2.142857142857143,0.14285714285714285,1123.857142857143,0.21428571428571427,1118.5,98.07142857142857,0.07142857142857142,3681.785714285714
2020-11-05,641.4285714285714,383.14285714285717,329.07142857142856,1.2857142857142858,0.5,0.14285714285714285,2.2857142857142856,0.21428571428571427,1163.9285714285713,0.2857142857142857,1147.0,101.28571428571429,0.07142857142857142,3770.6428571428573
2020-11-06,668.7857142857143,447.14285714285717,349.14285714285717,1.0714285714285714,0.5,0.07142857142857142,2.2857142857142856,0.21428571428571427,1212.642857142857,0.2857142857142857,1166.142857142857,103.35714285714286,0.07142857142857142,3951.714285714286
2020-11-07,689.1428571428571,471.7857142857143,345.85714285714283,1.1428571428571428,0.5714285714285714,0.35714285714285715,2.2857142857142856,0.2857142857142857,1242.9285714285713,0.2857142857142857,1196.2857142857142,103.35714285714286,0.07142857142857142,4054.3571428571427
2020-11-08,762.4285714285714,471.7857142857143,337.85714285714283,1.5,0.7142857142857143,0.35714285714285715,2.357142857142857,0.5714285714285714,1282.357142857143,0.2857142857142857,1214.5714285714287,119.71428571428571,0.07142857142857142,4194.571428571428
2020-11-09,833.2142857142857,471.7857142857143,350.92857142857144,1.6428571428571428,0.8571428571428571,0.35714285714285715,2.357142857142857,1.2857142857142858,1296.9285714285713,0.2857142857142857,1220.9285714285713,127.35714285714286,0.07142857142857142,4308.0
