,Alberta,British Columbia,Manitoba,New Brunswick,Newfoundland and Labrador,Northwest Territories,Nova Scotia,Nunavut,Ontario,Prince Edward Island,Quebec,Saskatchewan,Yukon,total
2020-04-11,102.0,28.642857142857142,4.928571428571429,1.8571428571428568,5.214285714285714,0.0714285714285714,28.5,0.0,492.2142857142857,0.2857142857142857,831.2142857142857,6.214285714285714,0.1428571428571428,1501.2857142857142
2020-04-12,106.21428571428572,29.642857142857142,5.142857142857143,1.8571428571428568,4.357142857142857,0.0714285714285714,29.5,0.0,510.7142857142857,0.2857142857142857,821.0,5.857142857142857,0.2142857142857142,1514.857142857143
2020-04-13,115.85714285714286,31.714285714285715,3.7142857142857135,1.4285714285714286,2.7857142857142856,0.0714285714285714,29.5,0.0,526.7857142857143,0.2857142857142857,834.2857142857143,4.714285714285714,0.2142857142857142,1551.357142857143
2020-04-14,118.42857142857144,27.214285714285715,3.7142857142857135,1.0714285714285714,2.142857142857143,0.0,30.571428571428573,0.0,541.4285714285714,0.2857142857142857,836.7142857142857,4.5,0.3571428571428571,1566.428571428571
2020-04-15,123.0,32.714285714285715,2.7857142857142856,0.9285714285714286,2.0,0.0,30.5,0.0,546.0714285714286,0.2857142857142857,838.0,4.285714285714286,0.2857142857142857,1580.857142857143
2020-04-16,144.85714285714286,36.0,2.9285714285714284,0.9285714285714286,1.7142857142857142,0.0,30.714285714285715,0.0,550.7857142857143,0.0714285714285714,852.2142857142857,3.928571428571429,0.2857142857142857,1624.428571428571
2020-04-17,164.07142857142858,34.857142857142854,3.0,0.7142857142857143,1.4285714285714286,0.0,32.42857142857143,0.0,550.9285714285714,0.0714285714285714,863.5,3.7857142857142856,0.2857142857142857,1655.071428571429
2020-04-18,183.28571428571428,34.5,2.4285714285714284,0.4285714285714285,1.2142857142857142,0.0,31.642857142857142,0.0,553.5,0.0714285714285714,879.2142857142857,4.0,0.2142857142857142,1690.5
2020-04-19,190.42857142857144,35.92857142857143,1.7857142857142858,0.4285714285714285,1.1428571428571428,0.0,31.214285714285715,0.0,553.5714285714286,0.0714285714285714,886.1428571428571,4.285714285714286,0.2142857142857142,1705.2142857142858
2020-04-20,208.07142857142856,35.92857142857143,2.071428571428572,0.2857142857142857,1.1428571428571428,0.0,30.571428571428573,0.0,540.0714285714286,0.0714285714285714,873.4285714285714,3.928571428571429,0.2142857142857142,1695.7857142857142
2020-04-21,211.7142857142857,36.285714285714285,1.9285714285714288,0.1428571428571428,1.0,0.0,30.428571428571427,0.0,529.7142857142857,0.0714285714285714,869.5714285714286,4.642857142857143,0.2142857142857142,1685.7142857142858
2020-04-22,212.8571428571429,40.21428571428572,1.9285714285714288,0.1428571428571428,1.0,0.0,28.428571428571427,0.0,517.7142857142857,0.1428571428571428,866.5714285714286,4.642857142857143,0.2142857142857142,1673.857142857143
2020-04-23,235.3571428571429,40.71428571428572,2.071428571428572,0.0714285714285714,0.7857142857142857,0.0,27.571428571428573,0.0,504.9285714285714,0.0714285714285714,852.2857142857143,5.642857142857143,0.2142857142857142,1669.7142857142858
2020-04-24,239.92857142857144,39.35714285714285,1.9285714285714288,0.0714285714285714,0.4285714285714285,0.0,26.285714285714285,0.0,491.2857142857143,0.0714285714285714,855.0714285714286,6.0,0.2142857142857142,1660.642857142857
2020-04-25,226.8571428571429,40.71428571428572,2.2142857142857144,0.0714285714285714,0.2142857142857142,0.0,25.214285714285715,0.0,477.5,0.0714285714285714,857.2857142857143,7.714285714285714,0.2142857142857142,1638.071428571429
2020-04-26,222.0,39.5,2.071428571428572,0.0714285714285714,0.2142857142857142,0.0,22.428571428571427,0.0,457.57142857142856,0.0714285714285714,874.1428571428571,7.714285714285714,0.1428571428571428,1625.928571428571
2020-04-27,211.64285714285717,37.42857142857143,2.0,0.0,0.2142857142857142,0.0,21.142857142857142,0.0,441.2857142857143,0.0714285714285714,872.0714285714286,8.428571428571429,0.1428571428571428,1594.428571428571
2020-04-28,209.14285714285717,41.21428571428572,2.071428571428572,0.0,0.2142857142857142,0.0,18.857142857142858,0.0,419.1428571428572,0.0714285714285714,868.9285714285714,10.785714285714286,0.0,1570.428571428571
2020-04-29,199.8571428571429,36.285714285714285,2.071428571428572,0.0714285714285714,0.2142857142857142,0.0,18.142857142857142,0.0,412.7142857142857,0.0714285714285714,875.1428571428571,11.928571428571429,0.0,1556.5
2020-04-30,183.0,32.857142857142854,2.071428571428572,0.1428571428571428,0.2142857142857142,0.0,16.142857142857142,0.0,399.4285714285714,0.0714285714285714,885.7142857142857,13.285714285714286,0.0,1532.928571428571
2020-05-01,164.07142857142858,33.142857142857146,1.7142857142857142,0.1428571428571428,0.2857142857142857,0.0,12.857142857142858,0.0,386.3571428571428,0.0714285714285714,881.7857142857143,14.285714285714286,0.0,1494.7142857142858
